book_id,title,name_author,gender_author,age_author,publisher,perspective,filename
1,De lichtekooi van Loven,Ineke van der Aa,2,2,De Geus,1,AaVander_DeLichtekooiVanLoven_clean.txt
2,EUS,Ozcan Akyol,1,2,Prometheus,1,Akyol_Eus_clean.txt
3,Mambo Jambo,Arthur Amerongen,1,5,Nijgh & Van Ditmar,2,Amerongen_MamboJambo_clean.txt
4,Een beschaafde man,Jan-Willem Anker,1,3,De Arbeiderspers,2,Anker_EenBeschaafdeMan_clean.txt
5,De mooiste leugen,Erdal Balci,1,4,De Bezige Bij,2,Balci_DeMooisteLeugen_clean.txt
6,Joy,Patrick Bassant,1,3,Wereldbibliotheek,3,Bassant_Joy_clean_annotated.txt
7,Celeste,Adri van Beelen,1,5,Marmer,1,Beelen_Celeste_clean.txt
8,Dromers,Cornelis van den Berg,1,3,Prometheus,1,Berg_Dromers_clean.txt
9,De hemelse kamer,Huub Beurskens,1,6,Wereldbibliotheek,3,Beurskens_DeHemelseKamer_clean_annotated.txt
10,In de naam van TienKamelen,Bouke Billiet,1,3,Wereldbibliotheek,1,Billiet_InDeNaamVanTienKamelen_clean.txt
11,Een meisje van Honderd,Marion Bloem,2,6,Arbeiderspers,2,Bloem_EenMeisjeVanHonderd_clean.txt
12,Slagschaduw,Lilian Blom,2,6,Atlas Contact,1,Blom_Slagschaduw_clean.txt
13,Nood breekt wet,David van Bodegom,1,3,Prometheus,2,Bodegom_NoodBreektWet_clean.txt
14,Heldhaftig,Britta Bolt (= Britta B_hler en Rodney Bolt),2/1,4,De Arbeiderspers,2,Bolt_Heldhaftig_clean.txt
15,Alle dingen zijn schitterend,Alex Boogers,1,4,Podium,3,Boogers_AlleDingenZijnSchitterend_clean_annotated.txt
16,Orang-oetans drijven niet,Stephan ter Borg,1,2,Prometheus,1,Borg_Orang-oetansDrijvenNiet_clean.txt
17,Op zwart,Willem Bosch,1,2,Lebowski,1,Bosch_OpZwart_clean.txt
18,Laatste reis,Anton Brand,1,5,Passage,1,Brand_LaatsteReis_clean.txt
19,Pontus,Job Breemer ter Stege,1,2,Passage,1,BreemerTerSteege_Pontus_clean.txt
20,Eb,Rebekka W. R. Bremmer,2,3,Querido,2,Bremmer_Eb_clean.txt
21,Broer,Maurits de Bruijn,1,2,Nieuw Amsterdam,1,Bruijn_Broer_clean.txt
22,Watervrees tijdens een verdrinking,Herman Brusselmans,1,5,Prometheus,1,Brusselmans_WatervreesTijdensEenVerdrinking_clean.txt
23,Guggenheimer in de mode,Herman Brusselmans,1,5,Prometheus,2,Brusselmans_GuggenheimerInDeMode_clean.txt
24,De keisnijders,Pieter de Buysser,1,3,De Geus,2,Buysser_DeKeisnijders_clean.txt
25,Het heerlijk avondje,Aat Ceelen,1,6,De kring,2,Ceelen_HetHeerlijkAvondje_clean.txt
26,Luchtmeisjes,Ingrid van der Chijs,2,3,Nijgh & Van Ditmar,2,Chijs_Luchtmeisjes_clean.txt
27,Park,Willem Claassen,1,2,De Bezige Bij,1,Claassen_Park_clean.txt
28,De seingever,Ann de Craemer,2,3,De Bezige Bij,1,Craemer_DeSeingever_clean.txt
29,De verleider van Damascus,Kajo Daad,2,3,De Geus,3,Kajo_DeVerleiderVanDamascus_clean_annotated.txt
30,Maartse kamers,V.M. Dangre,1,2,De Bezige Bij,3,Dangre_MaartseKamers_clean_annotated.txt
31,Extra tijd,A.H.J. Dautzenberg,1,4,Atlas,2,Dautzenberg_ExtraTijd_clean.txt
32,Isis,Hans Dekkers,1,5,Wereldbibliotheek,1,Dekkers_Isis_clean.txt
33,Kruisverhoor,Peter Delpeut,1,5,Atlas Contact,2,Delpeut_Kruisverhoor_clean.txt
34,Hondsster,Guy Dierckx,1,5,Houtekiet,2,Dierckx_Hondsster_clean.txt
35,En het regende brood,Stefan Dierendonck,1,3,Thomas Rap,1,Dierendonck_EnHetRegendeBrood_clean.txt
36,Nooit ziek geweest,Nico Dijkshoorn,1,5,Contact,1,Dijkshoorn_NooitZiekGeweest_clean.txt
37,Vader van God,Martin Michael Driessen,1,5,Wereldbibliotheek,2,Driessen_VaderVanGod_clean.txt
38,Oorlogsparadijs,Nico Dros,1,5,Van Oorschot,2,Dros_Oorlogsparadijs_clean.txt
39,Zwijgend verleden,Wim Duijst,1,5,Marmer,1,Duijst_ZwijgendVerleden_clean.txt
