book_id,source,target,relation_type
1,1,7,collega
1,1,8,collega
1,1,9,collega
1,1,11,collega
1,5,7,collega
1,5,8,collega
1,6,11,collega
1,7,1,collega
1,7,5,collega
1,8,1,collega
1,8,5,collega
1,9,1,collega
1,11,1,collega
1,11,6,collega
1,1,3,collega_vriend
1,1,4,collega_vriend
1,3,1,collega_vriend
1,3,4,collega_vriend
1,4,1,collega_vriend
1,4,3,collega_vriend
1,1,10,dochter
1,1,12,dochter
1,2,1,dochter
1,5,10,dochter
1,12,1,dochter
1,1,5,geliefde
1,1,6,geliefde
1,2,12,geliefde
1,5,1,geliefde
1,6,1,geliefde
1,12,2,geliefde
1,10,1,moeder
1,1,2,vader
1,10,5,vader
2,1,3,broer
2,1,4,broer
2,3,1,broer
2,3,4,broer
2,4,1,broer
2,4,3,broer
2,15,19,broer
2,1,17,collega
2,1,18,collega
2,3,15,collega
2,3,16,collega
2,15,3,collega
2,15,16,collega
2,16,3,collega
2,16,15,collega
2,17,1,collega
2,17,18,collega
2,18,1,collega
2,18,17,collega
2,1,15,collega_geliefde
2,15,1,collega_geliefde
2,16,1,collega_vriend
2,1,5,geliefde
2,1,6,geliefde
2,1,14,geliefde
2,1,21,geliefde
2,2,13,geliefde
2,5,1,geliefde
2,6,1,geliefde
2,7,9,geliefde
2,9,1,geliefde
2,9,7,geliefde
2,10,20,geliefde
2,13,2,geliefde
2,14,1,geliefde
2,20,10,geliefde
2,21,1,geliefde
2,1,13,moeder
2,3,13,moeder
2,4,13,moeder
2,1,2,vader
2,3,2,vader
2,4,2,vader
2,1,7,vijand
2,7,1,vijand
2,1,9,vriend
2,1,10,vriend
2,1,11,vriend
2,1,12,vriend
2,1,19,vriend
2,3,19,vriend
2,10,1,vriend
2,10,11,vriend
2,10,12,vriend
2,12,11,vriend
2,12,10,vriend
2,12,1,vriend
2,19,1,vriend
2,19,3,vriend
2,20,21,vriend
2,21,20,vriend
2,1,16,vriend_collega
2,2,1,zoon
2,2,3,zoon
2,2,4,zoon
2,13,1,zoon
2,13,3,zoon
2,13,4,zoon
2,19,15,zus
3,1,4,collega_vijand_vriend
3,4,1,collega_vijand_vriend
3,3,2,dochter
3,1,2,geliefde
3,1,8,geliefde
3,2,1,geliefde
3,8,1,geliefde
3,2,3,moeder
3,1,3,schoonmoeder
3,3,1,schoonzoon
3,1,5,vijand
3,5,1,vijand
3,1,7,vriend
3,1,9,vriend
3,7,1,vriend
3,9,1,vriend
3,1,6,vriend_collega
3,6,1,vriend_collega
4,1,4,collega
4,1,10,collega
4,2,4,collega
4,4,1,collega
4,7,3,collega
4,10,1,collega
4,6,2,dochter
4,1,9,geliefde
4,9,1,geliefde
4,12,7,geliefde
4,1,2,geliefde_vijand
4,2,1,geliefde_vijand
4,5,2,moeder
4,11,2,moeder
4,6,1,schoonzoon
4,2,6,vader
4,5,1,vader
4,11,1,vader
4,1,12,vijand
4,1,13,vijand
4,2,12,vijand
4,2,13,vijand
4,12,1,vijand
4,12,2,vijand
4,13,1,vijand
4,13,2,vijand
4,1,7,vriend
4,1,8,vriend
4,2,3,vriend
4,3,2,vriend
4,3,10,vriend
