book_id,character_id,name,name_variant,
1,1,Louise,Louise,
1,1,Louise,Louisje,
1,1,Louise,Louiseke,
1,2,Vake,Vake,
1,2,Vake,vake,
1,3,Gertrude,Gertrude,
1,3,Gertrude,Trudi,
1,4,Amelia,Amelia,
1,5,Alexander,Alexander,
1,5,Alexander,Alexander Delvaux,
1,5,Alexander,Aleksander,
1,5,Alexander,monsieur Alexander,
1,5,Alexander,Monsieur Alexander,
1,5,Alexander,monsieur Delvaux,
1,5,Alexander,Monsieur Delvaux,
1,6,Sebastiaan,Sebastiaan,
1,6,Sebastiaan,Seb,
1,7,Hannah,Hannah,
1,8,Lizzie,Lizzie,
1,8,Lizzie,Anna Elizabeth,
1,9,Anna Maria,Anna Maria,
1,9,Anna Maria,Maria,
1,10,Lucie,Lucie,
1,10,Lucie,Lucie van Loven,
1,11,Contarini,Contarini,
1,12,Lilianne,Lilianne,
1,12,Lilianne,Lili,
2,1,Eus,Eus,
2,1,Eus,Budamar,
2,1,Eus,Eus Budamar,
2,2,Turis,Turis,
2,3,Kosta,Kosta,
2,4,Mahir,Mahir,
2,5,Selma,Selma,
2,6,Inez,Inez,
2,7,Osman,Osman,
2,8,Theo,Theo,
2,9,Meltem,Meltem,
2,10,Metin,Metin,
2,11,Ömer,Ömer,
2,12,Ata,Ata,
2,13,moeder Eus,Moeder,
2,13,moeder Eus,moeder,
2,14,Daphne,Daphne,
2,15,Haakneus,Haakneus,
2,16,Kareltje,Kareltje,
2,17,Angelo,Angelo,
2,18,Vinny,Vinny,
2,19,Nathan,Nathan,
2,20,Eef,Eef,
2,21,Levine,Levine,
3,1,Arthur,Arthur,
3,1,Arthur,Arturo,
3,1,Arthur,Don Arturo,
3,1,Arthur,don Arturo,
3,2,Carmen,Carmen,
3,2,Carmen,Carmencita,
3,3,Louise,Louise,
3,3,Louise,maman,
3,3,Louise,Maman,
3,4,Doron,Doron,
3,5,Jorge,Jorge,
3,6,Oscar,Oscar,
3,7,Lala,Lala,
3,8,Felizia,Felizia,
3,9,Rocky,Rocky,
4,1,Elgin,Elgin,
4,1,Elgin,Eggy,
4,2,Mary,Mary,
4,2,Mary,juffrouw Nisbet,
4,2,Mary,Juffrouw Nisbet,
4,3,Lusieri,Lusieri,
4,3,Lusieri,Giovanni Battista Lusieri,
4,4,Hunt,Hunt,
4,4,Hunt,Philip,
4,4,Hunt,Philip Hunt,
4,5,William Bruce,William Bruce,
4,6,Nisbet,Nisbet,
4,6,Nisbet,William Nisbet,
4,7,Hamilton,Hamilton,
4,7,Hamilton,William Richard Hamilton,
4,8,Ferguson,Ferguson,
4,8,Ferguson,Robert Ferguson of Raith,
4,8,Ferguson,Robbie,
4,9,Elizabeth,Elizabeth,
4,9,Elizabeth,Elize,
4,10,Harington,Harington,
4,11,George,George,
4,11,George,George Charles Constantijn,
4,12,Emma,Emma,
4,13,Sebastiani,Sebastiani,
5,1,Tello,Tello,
5,2,Laurens,Laurens,
5,3,Otto,Otto,
5,4,Hendrik,Hendrik,
5,5,Sefer,Sefer,
5,6,De Schele,De Schele,
5,7,Opa,Opa,
5,8,Esther,Esther,
5,9,Destina,Destina,
5,10,Sophie,Sophie,
5,11,Theo,Theo,
5,12,Hilda,Hilda,
6,1,Ik,Ik,
6,2,Joy,Joy,
