book_id;character_id;name;gender;descent_country;descent_city;living_country;living_city;age;education;profession
1;1;Louise;2;2;4;2;4;1;2;prostituee/bedelaar
1;2;Vake;1;2;4;2;4;99;2;bedelaar
1;3;Gertrude;2;2;4;2;4;1;2;prostituee
1;4;Amelia;2;2;4;2;4;1;2;prostituee
1;5;Alexander;1;2;4;2;4;99;1;hertog
1;6;Sebastiaan;1;2;4;2;4;1;2;tekenaar
1;7;Hannah;2;6;99;2;4;1;2;dienstmeisje
1;8;Lizzie;2;2;4;2;4;1;2;dienstmeisje
1;9;Anna Maria;2;2;4;2;4;1;2;vroedvrouw/bedelaar
1;10;Lucie;2;2;4;2;4;1;99;99
1;11;Contarini;1;3;6;3;6;99;2;kunstenaar
1;12;Lilianne;2;2;4;2;4;99;2;huisvrouw
2;1;Eus;1;5;99;1;3;1;1;scholier/student/kok/crimineel
2;2;Turis;1;5;99;1;3;99;2;werkloos
2;3;Kosta;1;5;99;1;3;1;99;scholier/kok/crimineel
2;4;Mahir;1;5;99;1;3;1;99;scholier
2;5;Selma;2;5;99;1;3;1;1;student
2;6;Inez;2;1;99;1;3;1;1;student
2;7;Osman;1;99;99;1;99;99;99;werkloos
2;8;Theo;1;1;99;1;3;99;99;99
2;9;Meltem;1;5;99;1;3;1;99;student
2;10;Metin;1;5;99;1;3;1;99;99
2;11;Ömer;1;5;99;1;3;1;99;99
2;12;Ata;1;5;99;1;3;1;99;scholier
2;13;moeder Eus;2;5;99;1;3;99;2;huisvrouw
2;14;Daphne;2;1;99;1;3;1;1;barkeeper
2;15;Haakneus;2;5;99;1;3;1;99;ober
2;16;Kareltje;1;1;99;1;3;1;2;kok/crimineel
2;17;Angelo;1;1;99;1;3;99;99;crimineel
2;18;Vinny;1;1;99;1;3;99;99;crimineel
2;19;Nathan;1;1;99;1;3;99;99;99
2;20;Eef;2;1;99;1;3;1;99;scholier
2;21;Levine;2;1;99;1;3;1;99;scholier
3;1;Arthur;1;1;99;6;12;4;1;schrijver/docent
3;2;Carmen;2;3;6;6;12;2;1;ondernemer
3;3;Louise;2;3;6;3;6;5;1;makelaar
3;4;Doron;1;5;10;6;12;4;1;fotograaf
3;5;Jorge;1;3;99;6;12;4;2;clown
3;6;Oscar;1;6;99;6;12;4;1;radio-presentator
3;7;Lala;2;6;12;6;12;6;1;zangeres/socialite
3;8;Felizia;2;5;99;6;12;99;1;lerares
3;9;Rocky;1;4;10;6;12;99;1;bioloog
4;1;Elgin;1;3;7;5;99;3;1;adel/ambassadeur
4;2;Mary;2;3;7;4;99;1;1;socialite
4;3;Lusieri;1;3;99;3;7;99;1;kunstenaar
4;4;Hunt;1;3;7;5;7;99;1;predikant
4;5;William Bruce;1;3;7;3;7;1;1;adel
4;6;Nisbet;1;3;7;3;7;4;1;adel
4;7;Hamilton;1;99;99;99;6;99;1;kunstverzamelaar/ambassadeur
4;8;Ferguson;1;3;7;3;99;99;1;adel
4;9;Elizabeth;2;3;7;3;99;1;1;adel
4;10;Harington;1;3;7;3;6;99;1;secretaris
4;11;George;1;3;7;3;7;1;1;adel
4;12;Emma;2;3;99;3;6;99;2;adel
4;13;Sebastiani;2;3;8;5;8;99;1;adel
5;1;Tello;1;5;99;6;99;1;1;soldaat
5;2;Laurens;1;3;6;3;7;99;99;99
5;3;Otto;1;99;99;3;7;2;2;veehouder
5;4;Hendrik;1;99;99;3;6;4;1;vioolbouwer
5;5;Sefer;1;5;99;5;8;99;1;soldaat
5;6;De Schele;1;99;99;5;8;1;2;muzikant 
5;7;Opa;1;99;99;5;8;6;1;soldaat
5;8;Esther;2;99;99;3;7;99;99;99
5;9;Destina;2;99;99;3;6;99;2;bedelaar
5;10;Sophie;2;3;6;3;6;2;2;prostituee
5;11;Theo;1;1;99;99;99;99;99;99
5;12;Hilda;2;99;99;3;6;4;99;99
6;1;Ik;1;99;99;2;4;99;1;beeldhouwer/interim-manager
6;2;Joy;2;1;99;2;4;1;99;danser/kunstenaar
6;3;Hoeka;1;2;99;2;4;99;99;eigenaar herberg
6;4;Peter;2;2;99;2;4;3;99;99
6;5;Rick;1;2;99;2;4;3;99;99
6;6;Bia;2;2;99;2;4;3;99;99
6;7;Opa;1;2;99;2;4;6;99;gepensioneerd
6;8;Oma;2;2;99;2;4;6;99;verkoopmedewerker
6;9;Karel;1;2;99;2;4;6;99;handel
6;10;Thea;2;2;99;2;4;6;99;receptioniste
7;1;Adriaan;1;1;99;1;3;99;1;wijnhandelaar
7;2;Adriaan-Eric;1;99;99;1;99;99;1;wijnhandelaar
7;3;Anne;2;3;7;1;3;99;1;uitgever
7;4;Celeste-Claudia;2;3;7;1;99;99;99;kunsthistoricus
7;5;Ron;1;1;99;1;99;99;1;werkloos
7;6;Maurizio;1;3;99;3;99;3;2;hulp slagerij
8;1;Kees;1;1;99;3;6;2;1;ondernemer
8;2;Tony;1;3;6;3;6;6;1;eigenaar autobedrijf
8;3;Konstanze;2;3;6;99;99;2;99;99
8;4;De Rus;1;3;99;3;99;99;1;investeerder
8;5;Vadim;1;3;99;99;99;99;1;investeerder
9;1;Lino;1;3;1;3;6;3;1;muzikant
9;2;Hein;1;1;99;99;99;99;1;rechercheur
9;3;Ik;1;1;99;1;1;99;1;schrijver/docent
9;4;Inés;2;3;99;1;1;3;1;arts
9;5;Stella;2;1;1;1;1;2;1;eigenaar ijssalon
9;6;Rico;1;3;7;1;1;2;1;eigenaar ijssalon
9;7;Yasmín;2;3;99;3;6;1;1;student/model
9;8;Nicolas;1;3;99;3;6;6;2;winkeleigenaar
9;9;Laurent;1;3;7;3;6;3;1;muzikant
10;1;Tienkamelen;2;99;99;99;99;99;99;verzorgende
10;2;Oscar;1;2;99;2;5;6;2;tuinman
10;3;Bero;1;99;99;2;5;6;1;directeur
10;4;Moeder-overste;2;6;99;2;5;99;1;non
10;5;Sobrana;2;3;99;3;6;99;99;verzorgende
